month,case_study,NDVI_change_90m,EVI_change_90m,region
4,22,0.204186896,0.272914494,Caribbean
5,22,-0.14770286,0.100041401,Caribbean
6,22,0.050320644,0.112381609,Caribbean
7,22,0.062012986,-0.052007591,Caribbean
8,22,-0.043218097,-0.21375246,Caribbean
9,22,0.113509048,0.039221804,Caribbean
10,22,0.16575143,0.223002759,Caribbean
11,22,-9999,-9999,Caribbean
12,22,-9999,-9999,Caribbean
13,22,0.071715143,0.012117419,Caribbean
14,22,-0.499965776,-0.066551407,Caribbean
15,22,0.142466254,0.076506861,Caribbean
16,22,0.13515232,0.105991144,Caribbean
17,22,0.119479606,0.216391934,Caribbean
18,22,0.02245804,-0.096961206,Caribbean
19,22,-0.135761745,-0.236449629,Caribbean
20,22,-0.140985982,-0.284047574,Caribbean
21,22,-0.03426226,-0.09035038,Caribbean
22,22,-0.024410839,-0.186868436,Caribbean
23,22,-0.032023301,-0.241738289,Caribbean
24,22,-9999,-9999,Caribbean
25,22,-0.364135584,-0.366682895,Caribbean
1,24,0.215040907,0.137347223,Taiwan
2,24,-9999,-9999,Taiwan
3,24,0.039158492,-0.042415864,Taiwan
4,24,0.066589694,-0.068343233,Taiwan
5,24,0.045612892,0.011167363,Taiwan
6,24,-9999,-9999,Taiwan
7,24,-0.246448734,-0.472810178,Taiwan
8,24,-0.273879936,-0.331073898,Taiwan
9,24,-9999,-9999,Taiwan
10,24,-0.044748716,-0.09254211,Taiwan
11,24,-9999,-9999,Taiwan
12,24,-9999,-9999,Taiwan
13,24,-0.09477032,-0.255020284,Taiwan
14,24,-9999,-9999,Taiwan
15,24,-9999,-9999,Taiwan
16,24,0.053680893,0.040551714,Taiwan
17,24,-9999,-9999,Taiwan
18,24,-9999,-9999,Taiwan
19,24,-9999,-9999,Taiwan
20,24,-0.21094953,-0.381200143,Taiwan
21,24,-9999,-9999,Taiwan
22,24,-9999,-9999,Taiwan
23,24,-9999,-9999,Taiwan
24,24,-0.125428723,0.071664556,Taiwan
25,24,-9999,-9999,Taiwan
1,26,0.006809815,-0.035171051,Taiwan
2,26,0.033387092,-0.061294578,Taiwan
3,26,0.013063292,0.018817573,Taiwan
4,26,-9999,-9999,Taiwan
5,26,-0.269906548,-0.468821607,Taiwan
6,26,-0.296483825,-0.32601299,Taiwan
7,26,-9999,-9999,Taiwan
8,26,-0.074485388,-0.085676537,Taiwan
9,26,-9999,-9999,Taiwan
10,26,-9999,-9999,Taiwan
11,26,-0.122949835,-0.249383976,Taiwan
12,26,-9999,-9999,Taiwan
13,26,-9999,-9999,Taiwan
14,26,0.020880138,0.048424237,Taiwan
15,26,-9999,-9999,Taiwan
16,26,-9999,-9999,Taiwan
17,26,-9999,-9999,Taiwan
18,26,-0.235512423,-0.376518477,Taiwan
19,26,-9999,-9999,Taiwan
20,26,-9999,-9999,Taiwan
21,26,-9999,-9999,Taiwan
22,26,-0.152653852,0.07977247,Taiwan
23,26,-9999,-9999,Taiwan
24,26,-9999,-9999,Taiwan
25,26,0.155329896,0.287019122,Taiwan
1,27,0.006809815,-0.035171051,Taiwan
2,27,0.033387092,-0.061294578,Taiwan
3,27,0.013063292,0.018817573,Taiwan
4,27,-9999,-9999,Taiwan
5,27,-0.269906548,-0.468821607,Taiwan
6,27,-0.296483825,-0.32601299,Taiwan
7,27,-9999,-9999,Taiwan
8,27,-0.074485388,-0.085676537,Taiwan
9,27,-9999,-9999,Taiwan
10,27,-9999,-9999,Taiwan
11,27,-0.122949835,-0.249383976,Taiwan
12,27,-9999,-9999,Taiwan
13,27,-9999,-9999,Taiwan
14,27,0.020880138,0.048424237,Taiwan
15,27,-9999,-9999,Taiwan
16,27,-9999,-9999,Taiwan
17,27,-9999,-9999,Taiwan
18,27,-0.235512423,-0.376518477,Taiwan
19,27,-9999,-9999,Taiwan
20,27,-9999,-9999,Taiwan
21,27,-9999,-9999,Taiwan
22,27,-0.152653852,0.07977247,Taiwan
23,27,-9999,-9999,Taiwan
24,27,-9999,-9999,Taiwan
25,27,0.155329896,0.287019122,Taiwan
1,28,-9999,-9999,Taiwan
2,28,-0.280287916,-0.486447927,Taiwan
3,28,-0.306487286,-0.348378189,Taiwan
4,28,-9999,-9999,Taiwan
5,28,-0.087645496,-0.116016923,Taiwan
6,28,-9999,-9999,Taiwan
7,28,-9999,-9999,Taiwan
8,28,-0.135420816,-0.274291988,Taiwan
9,28,-9999,-9999,Taiwan
10,28,-9999,-9999,Taiwan
11,28,0.006364006,0.013633929,Taiwan
12,28,-9999,-9999,Taiwan
13,28,-9999,-9999,Taiwan
14,28,-9999,-9999,Taiwan
15,28,-0.24638285,-0.39720773,Taiwan
16,28,-9999,-9999,Taiwan
17,28,-9999,-9999,Taiwan
18,28,-9999,-9999,Taiwan
19,28,-0.164702464,0.04394192,Taiwan
20,28,-9999,-9999,Taiwan
21,28,-9999,-9999,Taiwan
22,28,0.138901991,0.244311417,Taiwan
23,28,0.058762744,-0.105914259,Taiwan
24,28,0.02023426,-0.259137992,Taiwan
25,28,-9999,-9999,Taiwan
1,32,0.088942252,-0.079628472,Taiwan
2,32,0.06388122,0.059911727,Taiwan
3,32,0.051350704,-0.093730939,Taiwan
4,32,0.02022652,-0.077401767,Taiwan
5,32,0.054503544,-0.031531638,Taiwan
6,32,0.024268621,-0.138265045,Taiwan
7,32,-0.101306011,-0.248115841,Taiwan
8,32,-0.136607034,-0.400274037,Taiwan
9,32,-0.263933244,-0.389882745,Taiwan
10,32,-0.220682754,-0.166469979,Taiwan
11,32,-0.025045022,-0.008373902,Taiwan
12,32,-0.083251289,-0.094473174,Taiwan
13,32,-0.06263657,-0.144945161,Taiwan
14,32,-0.001600831,0.145268764,Taiwan
15,32,0.027502303,-0.082597413,Taiwan
16,32,-0.017365028,-0.098555467,Taiwan
17,32,-9999,-0.202839499,Taiwan
18,32,-0.08405971,-0.164243274,Taiwan
19,32,-0.028278704,-0.211004085,Taiwan
20,32,-0.168943849,-0.301556768,Taiwan
21,32,-9999,-9999,Taiwan
22,32,-9999,-9999,Taiwan
23,32,0.014567577,-0.130842694,Taiwan
24,32,-9999,-9999,Taiwan
25,32,-9999,-9999,Taiwan
1,33,-9999,-9999,Taiwan
2,33,0.085311714,0.09345428,Taiwan
3,33,0.072528787,-0.065050647,Taiwan
4,33,0.040777647,-0.048204713,Taiwan
5,33,0.075745136,-0.000882952,Taiwan
6,33,0.044901172,-0.110994104,Taiwan
7,33,-0.083202997,-0.224321299,Taiwan
8,33,-0.119215114,-0.381294777,Taiwan
9,33,-0.249106143,-0.370574637,Taiwan
10,33,-0.204984429,-0.140091627,Taiwan
11,33,-0.00540583,0.023007646,Taiwan
12,33,-0.064784587,-0.065816372,Taiwan
13,33,-0.043754611,-0.117885623,Taiwan
14,33,0.018510613,0.181512573,Taiwan
15,33,0.048199992,-0.053564783,Taiwan
16,33,0.002428867,-0.070027855,Taiwan
17,33,-9999,-0.177612117,Taiwan
18,33,-0.065609292,-0.137794454,Taiwan
19,33,-0.008704651,-0.186035084,Taiwan
20,33,-0.152203312,-0.279453447,Taiwan
21,33,-9999,-9999,Taiwan
22,33,-9999,-9999,Taiwan
23,33,0.035004712,-0.103336861,Taiwan
24,33,-9999,-9999,Taiwan
25,33,-9999,-9999,Taiwan
1,34,-9999,-9999,Taiwan
2,34,0.036197259,-0.019526987,Taiwan
3,34,0.071010859,0.029220585,Taiwan
4,34,0.040302637,-0.084208232,Taiwan
5,34,-8.72E-02,-0.20094999,Taiwan
6,34,-0.123091385,-0.362653102,Taiwan
7,34,-0.252410773,-0.351609962,Taiwan
8,34,-0.208483235,-0.114182467,Taiwan
9,34,-0.009782968,0.05383101,Taiwan
10,34,-0.068900403,-0.037669287,Taiwan
11,34,-0.047962978,-0.091307393,Taiwan
12,34,0.014028221,0.217111713,Taiwan
13,34,0.043586938,-0.025048557,Taiwan
14,34,-0.001982751,-0.042007663,Taiwan
15,34,-9999,-0.152833455,Taiwan
16,34,-0.069721479,-0.11181608,Taiwan
17,34,-0.01306727,-0.161510207,Taiwan
18,34,-0.155934404,-0.257743278,Taiwan
19,34,-9999,-9999,Taiwan
20,34,-9999,-9999,Taiwan
21,34,0.030449731,-0.076320275,Taiwan
22,34,-9999,-9999,Taiwan
23,34,-9999,-9999,Taiwan
24,34,-9999,-9999,Taiwan
25,34,-9999,-9999,Taiwan
1,35,0.084291205,-0.027339035,Taiwan
2,35,0.050979647,-0.013046874,Taiwan
3,35,0.086289898,0.036022879,Taiwan
4,35,0.055143591,-0.078155608,Taiwan
5,35,-0.074216291,-0.195668933,Taiwan
6,35,-0.110581408,-0.358440768,Taiwan
7,35,-0.241745667,-0.347324642,Taiwan
8,35,-0.197191459,-0.108327948,Taiwan
9,35,0.004343466,0.060795958,Taiwan
10,35,-0.055617339,-0.03130908,Taiwan
11,35,-0.03438122,-0.085301689,Taiwan
12,35,0.028494345,0.225155811,Taiwan
13,35,0.058474748,-0.018604937,Taiwan
14,35,0.012254961,-0.035676129,Taiwan
15,35,-9999,-0.147234387,Taiwan
16,35,-0.056450128,-0.105945921,Taiwan
17,35,0.00101231,-0.155968485,Taiwan
18,35,-0.143892967,-0.252837577,Taiwan
19,35,-9999,-9999,Taiwan
20,35,-9999,-9999,Taiwan
21,35,0.045150124,-0.070215518,Taiwan
22,35,-9999,-9999,Taiwan
23,35,-9999,-9999,Taiwan
24,35,-9999,-9999,Taiwan
25,35,-9999,-9999,Taiwan
1,38,-9999,-9999,Australia
2,38,-9999,-9999,Australia
3,38,0.085610423,0.01964057,Australia
4,38,-9999,-9999,Australia
5,38,0.034402384,0.043632113,Australia
6,38,0.047570166,-0.03348356,Australia
7,38,-9999,-9999,Australia
8,38,-0.107517038,-0.006064654,Australia
9,38,0.028550037,0.006787958,Australia
10,38,0.078294989,0.047059476,Australia
11,38,-9999,-9999,Australia
12,38,-9999,-9999,Australia
13,38,-9999,-9999,Australia
14,38,-9999,-9999,Australia
15,38,-9999,-9999,Australia
16,38,0.047570166,-0.031769879,Australia
17,38,0.012456082,-0.124308687,Australia
18,38,0.081221163,0.026495297,Australia
19,38,0.098778204,0.09332888,Australia
20,38,0.047570166,-0.047193013,Australia
21,38,-9999,-9999,Australia
22,38,-9999,-9999,Australia
23,38,-9999,-9999,Australia
24,38,-9999,-9999,Australia
25,38,-9999,-9999,Australia
1,40,-9999,-9999,Caribbean
2,40,-0.269871295,-0.344008127,Caribbean
3,40,-0.056047888,-0.155332369,Caribbean
4,40,0.015661181,0.12205848,Caribbean
5,40,0.013053579,0.028345355,Caribbean
6,40,-9999,-9999,Caribbean
7,40,-9999,-9999,Caribbean
8,40,-0.018237652,-0.052247932,Caribbean
9,40,-0.01693385,-0.059120228,Caribbean
10,40,-9999,-9999,Caribbean
11,40,-9999,-9999,Caribbean
12,40,0.005230771,-0.037878586,Caribbean
13,40,-9999,-9999,Caribbean
14,40,-0.49282131,-0.166577944,Caribbean
15,40,0.029351095,0.003979943,Caribbean
16,40,0.008490275,-0.008515141,Caribbean
17,40,-0.024104757,0.040215684,Caribbean
18,40,-0.032579465,-0.074114328,Caribbean
19,40,-0.149921579,-0.164078928,Caribbean
20,40,-0.033883267,0.02459683,Caribbean
21,40,-0.056047888,-0.007890386,Caribbean
22,40,-0.043009875,-0.05787072,Caribbean
23,40,-0.018237652,-0.021634978,Caribbean
24,40,-0.040402273,0.068329622,Caribbean
25,40,-9999,-9999,Caribbean
1,41,-9999,-9999,Caribbean
2,41,-0.266812754,-0.341933081,Caribbean
3,41,-0.052093632,-0.1526605,Caribbean
4,41,0.01991583,0.125607798,Caribbean
5,41,0.017297304,0.031598238,Caribbean
6,41,-9999,-9999,Caribbean
7,41,-9999,-9999,Caribbean
8,41,-0.014125007,-0.049249984,Caribbean
9,41,-0.012815744,-0.056144018,Caribbean
10,41,-9999,-9999,Caribbean
11,41,-9999,-9999,Caribbean
12,41,0.009441726,-0.034835185,Caribbean
13,41,-9999,-9999,Caribbean
14,41,-0.490696717,-0.163941647,Caribbean
15,41,0.033663091,0.007155752,Caribbean
16,41,0.012714884,-0.005378856,Caribbean
17,41,-0.02001669,0.043506115,Caribbean
18,41,-0.028526899,-0.071185548,Caribbean
19,41,-0.146360564,-0.161434725,Caribbean
20,41,-0.029836162,0.027837855,Caribbean
21,41,-0.052093632,-0.004752126,Caribbean
22,41,-0.039001003,-0.054890558,Caribbean
23,41,-0.014125007,-0.018540194,Caribbean
24,41,-0.036382477,0.07170898,Caribbean
25,41,-9999,-9999,Caribbean
1,44,-9999,-9999,Australia
2,44,-9999,-9999,Australia
3,44,-9999,-9999,Australia
4,44,-0.367569065,-0.162904072,Australia
5,44,-0.200204438,-0.062159485,Australia
6,44,-0.028396503,-0.188548148,Australia
7,44,-0.004698857,-0.159240632,Australia
8,44,0.001225555,-0.071318084,Australia
9,44,-0.01654768,-0.049337447,Australia
10,44,-9999,-9999,Australia
11,44,-9999,-9999,Australia
12,44,-9999,-9999,Australia
13,44,-0.053575252,-0.124437957,Australia
14,44,-0.003217754,-0.135428275,Australia
15,44,-9999,-9999,Australia
16,44,-0.059499664,-0.265480378,Australia
17,44,0.01899879,-0.283797575,Australia
18,44,-9999,-9999,Australia
19,44,-0.010623268,-0.078644963,Australia
20,44,-9999,-9999,Australia
21,44,-9999,-9999,Australia
22,44,-9999,-9999,Australia
23,44,-0.189096167,-0.10337318,Australia
24,44,-9999,-9999,Australia
25,44,-9999,-9999,Australia
